Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2013,GLA Household Estimate 2013,Inland Area (Hectares),Population density (per hectare) 2013,"Average Age, 2013","Proportion of population aged 0-15, 2013","Proportion of population of working-age, 2013","Proportion of population aged 65 and over, 2013",% of resident population born abroad (2013),Largest migrant population by country of birth (2013),% of largest migrant population (2013),Second largest migrant population by country of birth (2013),% of second largest migrant population (2013),Third largest migrant population by country of birth (2013),% of third largest migrant population (2013),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 census),"Overseas nationals entering the UK (NINo), (2013/14)","New migrant (NINo) rates, (2013/14)",Employment rate (%) (2013/14),Male employment rate (2013/14),Female employment rate (2013/14),Unemployment rate (2013/14),Youth Unemployment rate (2013/14),Proportion of 16-18 year olds who are NEET (%) (2013),Proportion of the working-age population who claim benefits (%) (Feb-2014),% working-age with a disability (2012),Proportion of working age people with no qualifications (%) 2013,Proportion of working age people in London with degree or equivalent and above (%) 2013,"Gross Annual Pay, (2013)",Gross Annual Pay - Male (2013),Gross Annual Pay - Female (2013),% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2012),% of employment that is in public sector (2012),"Jobs Density, 2012","Number of active businesses, 2012",Two-year business survival rates 2012,Crime rates per thousand population 2013/14,Fires per thousand population (2013),Ambulance incidents per hundred population (2013),"Median House Price, 2013","Average Band D Council Tax charge (Â£), 2014/15",New Homes (net) 2012/13,"Homes Owned outright, (2013) %","Being bought with mortgage or loan, (2013) %","Rented from Local Authority or Housing Association, (2013) %","Rented from Private landlord, (2013) %","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2012/13","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2011/12","Average Public Transport Accessibility score, 2012",Indices of Multiple Deprivation 2010 Rank of Average Score,Income Support claimant rate (Feb-14),% children living in out-of-work families (2013),"Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2012/13",Rates of Children Looked After (2013),% of pupils whose first language is not English (2014),"Male life expectancy, (2010-12)","Female life expectancy, (2010-12)",Teenage conception rate (2012),Life satisfaction score 2012-13 (out of 10),Worthwhileness score 2012-13 (out of 10),Happiness score 2012-13 (out of 10),Anxiety score 2012-13 (out of 10),Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00AA,E09000001,City of London,Inner London,"8,000","4,514",290,27.5,41.3,7.9,77.5,14.5,-,-,-,-,-,-,-,22.6,17.1,712,125,!,!,!,!,!,5.1,4.6,.,!,65.3,.,.,.,.,"447,900",5.3,77.46,"16,765",63,.,11.6,80.9,"595,000",942,40,-,-,-,-,4.8,"1,499.0",36,"1,692",0.4,18.0,7.6,262,0.5,.,.,98,.,.,.,.,8.10,8.23,7.44,x,,,,,
00AB,E09000002,Barking and Dagenham,Outer London,"195,600","73,261","3,611",54.2,33.2,26.1,63.8,10.1,35.8,Nigeria,5.8,Lithuania,4.6,Pakistan,3.1,45.7,18.7,"4,405",36,63.2,73.2,53.5,13.0,25.5,5.8,14.3,22.6,15.7,21.2,"28,408","30,714","24,320",21,"54,500",22.1,0.46,"4,580",71,82.6,3.8,14.1,"180,000","1,315",510,15.8,29.1,34.9,17.9,33.6,780.8,27,"56,966",0.8,9.0,3.0,22,4.0,27.9,60.2,76,44.7,77.6,82.0,35.4,7.06,7.57,6.97,3.30,Lab,0,100,0,38.2
00AC,E09000003,Barnet,Outer London,"370,000","141,386","8,675",42.7,36.9,20.9,65.5,13.6,35.9,India,2.2,Ireland,2.0,Iran,1.9,37.1,23.4,"9,406",39,72.5,80.0,65.0,5.3,12.1,2.3,7.8,11.8,4.4,43.8,"33,006","39,030","28,346",33,"153,000",20.3,0.65,"22,110",67,61.5,2.0,11.6,"346,000","1,401","1,370",31.5,29.3,12.9,24.2,41.3,"1,542.0",33,"144,717",1.1,9.0,3.0,176,1.7,15.1,71.5,37,43.2,81.4,84.5,14.7,7.35,7.79,7.27,2.63,Cons,51,43,2,41.1
00AD,E09000004,Bexley,Outer London,"236,500","94,701","6,058",39.0,38.9,20.3,63.1,16.6,16.5,Nigeria,2.2,Poland,1.9,Ghana,1.2,19.6,6.0,"1,401",9,72.2,79.5,65.1,8.6,16.7,4.2,8.5,20.2,4.8,21.9,"32,856","34,254","29,272",22,"77,400",18.0,0.53,"7,390",71,49.9,2.3,12.2,"225,000","1,428",420,36.2,36.9,14.6,11.7,31.7,"1,096.0",54,"108,507",1.2,10.0,2.5,174,2.2,18.2,66.0,47,14.1,80.3,84.4,25.8,7.47,7.75,7.21,3.22,Cons,71,24,0,not avail
00AE,E09000005,Brent,Outer London,"320,200","114,319","4,323",74.1,35.3,20.5,68.7,10.8,53.3,India,10.7,Kenya,2.9,Romania,2.8,64.9,37.2,"16,696",77,65.9,75.3,56.0,9.4,19.4,3.0,10.8,18.7,7.9,36.9,"28,111","28,713","27,492",17,"121,900",19.1,0.57,"13,220",71,77.0,2.1,12.7,"350,000","1,358",660,19.5,24.5,23.0,30.9,21.9,"1,358.2",43,"87,802",0.8,10.0,3.7,35,2.3,21.8,62.9,49,62.0,79.9,84.5,19.6,7.23,7.32,7.09,3.33,Lab,10,89,2,33.0
00AF,E09000006,Bromley,Outer London,"317,400","134,013","15,014",21.1,39.8,19.6,62.9,17.4,15.9,India,2.6,Ireland,0.8,Nigeria,0.7,16.9,5.8,"1,902",10,77.7,83.9,71.8,5.1,28.0,5.8,7.5,16.4,5.8,39.1,"36,327","40,504","32,125",29,"120,100",18.4,0.62,"13,425",76,61.1,2.4,11.4,"295,650","1,309",690,39.6,37.4,9.7,11.1,57.8,"1,376.1",49,"153,908",1.2,14.0,2.7,203,1.9,14.7,73.9,40,10.1,81.0,84.5,24.2,7.63,7.80,7.36,3.20,Cons,85,12,0,not avail
00AG,E09000007,Camden,Inner London,"228,400","100,842","2,179",104.8,35.8,15.6,73.3,11.1,44.2,Bangladesh,4.0,United States,3.5,Poland,2.4,34.6,23.5,"8,715",53,64.7,70.7,58.4,7.1,19.3,4.4,10.5,17.0,9.7,53.7,"37,685","40,969","36,080",22,"342,000",13.5,2.11,"26,460",68,124.4,3.1,15.7,"575,000","1,321",560,16.5,15.5,37.3,29.4,24.8,"1,625.4",31,"46,601",0.5,18.0,5.6,74,2.4,24.4,60.4,67,54.3,80.5,85.4,18.1,7.22,7.37,7.13,3.25,Lab,22,74,2,38.7
00AH,E09000008,Croydon,Outer London,"373,100","150,054","8,650",43.1,36.6,21.6,65.6,12.7,32.8,India,3.6,Pakistan,2.7,Poland,2.7,47.2,14.5,"5,776",24,73.4,76.9,69.9,9.4,25.4,3.0,10.4,16.8,6.1,33.0,"31,181","35,195","27,004",27,"137,700",22.1,0.58,"13,020",72,75.5,2.4,13.7,"240,000","1,470",890,26.6,38.8,14.5,18.8,37.1,"1,540.4",44,"140,049",1.0,8.0,3.2,107,2.7,20.8,64.4,82,29.1,79.2,83.2,28.6,7.00,7.46,7.11,3.02,Lab,43,57,0,38.0
00AJ,E09000009,Ealing,Outer London,"344,900","126,861","5,554",62.1,35.6,20.6,68.2,11.1,46.9,India,9.5,Poland,4.3,Kenya,3.8,52.4,33.9,"11,289",49,67.1,75.2,58.2,10.9,39.4,3.3,9.8,17.6,10.6,36.9,"29,778","31,457","27,785",32,"147,000",16.0,0.64,"15,065",71,75.3,2.3,12.0,"327,000","1,359",990,20.8,30.9,16.2,30.8,30.9,"1,602.8",41,"112,845",0.9,14.0,3.3,80,2.0,19.8,60.9,51,59.6,79.2,84.2,22.4,7.24,7.48,7.44,3.58,Lab,17,77,6,41.3
00AK,E09000010,Enfield,Outer London,"322,400","124,602","8,083",39.9,36.1,22.2,65.1,12.7,32.3,Turkey,3.3,Cyprus,2.4,Nigeria,2.0,41.2,22.9,"5,665",27,66.4,74.5,58.4,7.2,11.8,4.2,12.1,15.3,8.7,28.9,"29,629","32,143","27,996",22,"116,700",23.1,0.57,"11,280",69,70.5,2.7,12.8,"250,000","1,399",550,28.8,30.2,19.9,20.8,45.6,"1,266.6",39,"119,653",1.0,8.0,2.9,64,3.1,25.3,63.2,37,45.8,80.5,84.0,26.4,7.18,7.57,7.41,2.51,Lab,35,65,0,37.8
00AL,E09000011,Greenwich,Outer London,"262,800","105,000","4,733",55.5,34.7,21.8,67.7,10.6,31.6,Nigeria,4.1,Nepal,3.0,Sri Lanka,2.5,39.6,16.9,"5,149",29,63.8,71.4,56.4,10.8,32.7,6.5,11.7,18.8,7.1,36.2,"31,624","33,543","29,993",17,"79,400",27.6,0.46,"7,665",72,74.0,3.1,12.8,"265,000","1,280",110,16.1,30.9,33.5,16.3,34.4,"1,103.8",40,"78,185",0.8,14.0,3.3,28,3.1,25.6,65.4,93,38.7,78.5,82.2,34.7,7.16,7.49,7.05,3.68,Lab,16,84,0,37.3
00AM,E09000012,Hackney,Inner London,"256,600","106,656","1,905",134.7,32.6,20.5,72.4,7.1,38.8,Turkey,4.0,Nigeria,2.0,Somalia,2.0,45.7,24.1,"7,615",41,63.7,70.6,57.2,11.1,21.9,3.2,13.4,22.4,10.7,43.1,"32,190","32,645","30,672",30,"110,900",18.1,0.62,"12,980",70,100.9,2.7,12.3,"375,000","1,297",800,13.4,22.2,45.1,18.0,23.2,936.1,24,"41,800",0.4,22.0,4.8,2,3.1,30.8,61.2,56,50.9,77.7,82.8,28.8,7.07,7.42,7.02,3.61,Lab,7,88,5,42.9
00AN,E09000013,Hammersmith and Fulham,Inner London,"181,000","79,689","1,640",110.4,34.9,16.8,73.8,9.5,41.4,France,3.8,Ireland,3.0,Poland,2.9,33.5,22.7,"8,277",63,73.0,80.6,65.1,6.4,11.0,3.2,10.4,15.3,9.2,56.2,"38,068","42,085","35,899",30,"145,200",20.3,1.10,"12,270",69,105.9,2.3,13.1,"570,000","1,034",420,18.7,21.3,26.4,31.8,19.1,975.9,23,"43,843",0.5,20.0,4.7,55,2.2,22.2,66.5,71,45.3,79.1,83.3,25.6,7.23,7.60,6.94,3.15,Lab,43,57,0,38.0
00AP,E09000014,Haringey,Inner London,"263,100","105,459","2,960",88.9,34.4,19.9,71.2,8.9,36.3,Turkey,3.3,Poland,2.4,Jamaica,2.0,40.0,29.7,"12,691",68,68.8,75.5,61.7,8.6,31.9,3.4,12.5,16.7,8.6,47.9,"29,183","29,367","28,883",30,"77,300",19.6,0.44,"10,330",71,83.6,2.1,13.3,"339,875","1,483",580,16.2,30.2,25.6,25.2,25.5,936.0,32,"61,515",0.6,16.0,4.1,13,2.7,26.1,63.5,94,52.3,79.4,83.8,33.1,7.20,7.44,7.13,3.07,Lab,0,84,16,38.1
00AQ,E09000015,Harrow,Outer London,"245,900","86,969","5,046",48.7,37.7,20.1,65.4,14.5,50.2,India,9.9,Romania,5.5,Sri Lanka,5.0,60.2,28.5,"5,713",36,69.2,78.7,59.5,8.8,17.9,1.8,7.0,16.8,4.3,38.5,"32,258","35,430","28,284",39,"78,800",16.6,0.50,"12,375",72,50.2,1.6,10.3,"325,000","1,509",720,34.4,27.7,11.9,23.6,34.6,869.4,45,"100,326",1.2,8.0,2.8,194,1.5,13.3,65.4,30,60.2,82.0,85.6,14.2,7.34,7.53,7.35,3.17,Lab,41,54,2,41.0
00AR,E09000016,Havering,Outer London,"242,600","99,202","11,235",21.6,40.3,18.8,62.8,18.4,11.3,India,1.9,Romania,0.8,Lithuania,0.8,13.6,4.6,"1,338",9,74.1,81.2,67.4,7.4,21.5,4.3,8.9,16.8,8.2,18.5,"31,473","33,693","29,384",17,"83,800",22.6,0.56,"8,390",72,62.3,2.5,12.8,"231,000","1,494",240,35.2,35.4,18.8,10.2,59.3,"1,065.5",35,"117,634",1.2,15.0,2.5,177,2.2,16.5,63.7,36,11.1,79.3,83.8,26.4,7.40,7.65,7.24,3.17,No Overall Control,41,2,0,43.0
00AS,E09000017,Hillingdon,Outer London,"287,500","104,651","11,570",24.9,36.2,20.9,66.1,13.0,30.4,India,6.1,Pakistan,3.0,Sri Lanka,2.2,42.4,18.8,"4,598",24,71.0,80.3,62.0,8.0,22.1,3.5,8.2,16.6,6.8,34.3,"31,176","35,291","27,499",24,"211,400",10.6,1.15,"11,020",74,67.1,3.1,15.6,"265,000","1,412","1,470",27.5,33.7,18.1,18.0,49.2,"1,834.2",43,"122,486",1.2,10.0,2.4,138,2.1,18.0,61.6,56,41.0,79.9,83.5,27.7,7.35,7.63,7.34,3.34,Cons,65,35,0,35.8
00AT,E09000018,Hounslow,Outer London,"264,300","98,841","5,598",47.2,35.3,20.6,68.5,10.8,47.1,India,14.7,Poland,4.8,Kenya,2.6,50.2,28.7,"7,995",45,75.8,83.7,67.2,7.6,19.0,4.1,8.8,17.2,9.7,39.8,"30,212","32,450","29,238",27,"158,100",12.9,0.90,"11,505",76,74.7,2.6,12.4,"280,000","1,379",230,20.8,26.1,19.7,32.9,39.6,"1,426.2",35,"94,042",1.0,19.0,3.1,118,2.0,21.0,66.7,52,57.9,79.5,83.3,30.4,7.30,7.60,7.29,3.51,Lab,18,82,0,36.8
00AU,E09000019,Islington,Inner London,"215,900","97,616","1,486",145.3,34.4,15.9,75.5,8.7,32.0,Ireland,3.8,Italy,1.9,Somalia,1.8,32.7,19.9,"7,896",49,68.6,72.0,65.1,8.2,22.8,4.9,13.0,17.7,12.0,54.1,"35,447","38,629","31,772",31,"204,500",16.1,1.30,"15,310",72,113.7,2.6,14.8,"462,726","1,261",920,15.3,19.6,39.1,23.3,12.4,"1,149.1",31,"38,629",0.4,24.0,5.6,14,3.1,31.5,63.5,84,45.6,77.8,83.2,30.1,7.08,7.22,6.85,3.74,Lab,0,98,0,38.4
00AW,E09000020,Kensington and Chelsea,Inner London,"155,700","77,211","1,212",128.4,38.3,15.9,70.9,13.2,51.8,France,5.8,United States,5.2,Italy,2.2,30.7,28.0,"6,092",56,63.7,71.8,55.5,9.0,33.9,5.0,8.7,13.3,7.5,56.5,"45,625",.,"38,079",31,"142,200",16.0,1.30,"12,570",69,115.3,2.1,13.2,"980,000","1,082",60,17.8,11.8,31.0,33.6,15.1,"1,395.3",26,"44,536",0.6,17.0,5.8,103,1.7,14.8,80.2,36,52.7,82.1,85.8,17.7,7.68,7.92,7.51,3.06,Cons,74,24,2,not avail
00AX,E09000021,Kingston upon Thames,Outer London,"166,400","65,783","3,726",44.7,36.9,19.0,68.0,13.0,28.7,Poland,2.5,South Korea,2.0,Sri Lanka,2.0,27.0,16.4,"2,395",21,76.9,82.1,71.5,6.0,12.4,4.1,5.6,12.2,3.1,46.7,"36,401","38,509","31,114",43,"80,400",19.3,0.73,"8,060",72,55.4,1.9,11.7,"335,000","1,679",200,29.0,38.0,12.9,15.6,36.4,766.8,46,"70,421",1.1,17.0,2.8,255,1.1,10.4,71.6,37,31.2,81.4,84.8,20.0,7.29,7.45,7.18,3.23,Cons,58,4,38,not avail
00AY,E09000022,Lambeth,Inner London,"313,800","134,512","2,681",117.1,33.9,17.9,74.5,7.6,36.2,Jamaica,2.9,Poland,2.7,Australia,2.5,43.5,20.3,"10,676",46,78.4,82.4,74.0,8.2,10.3,2.6,11.4,17.3,6.4,55.5,"33,580","35,999","30,781",32,"150,500",24.4,0.66,"14,820",74,104.2,2.5,14.2,"345,000","1,224",540,11.9,25.3,25.3,36.7,17.3,"1,299.7",23,"66,791",0.5,25.0,5.0,29,2.6,28.9,65.9,83,47.1,78.2,83.0,33.2,7.09,7.40,6.97,3.69,Lab,5,94,0,32.0
00AZ,E09000023,Lewisham,Inner London,"286,000","120,439","3,515",81.4,34.5,20.6,70.0,9.4,30.7,Jamaica,2.3,Ireland,1.8,Nigeria,1.6,48.4,16.5,"6,576",33,73.8,81.2,66.2,8.5,36.1,3.5,12.5,18.9,6.4,46.4,"32,512","34,462","29,719",28,"76,500",24.9,0.39,"8,235",71,77.7,2.4,12.6,"258,000","1,359","1,800",13.8,35.6,25.4,24.5,22.5,970.2,20,"76,507",0.7,13.0,3.9,31,3.2,25.1,58.0,77,30.7,78.2,82.6,42.0,7.23,7.71,7.13,3.35,Lab,0,98,0,37.2
00BA,E09000024,Merton,Outer London,"205,400","81,048","3,763",54.6,36.3,20.2,67.9,11.9,38.9,Poland,2.9,Sri Lanka,2.9,South Africa,2.9,36.5,21.1,"5,131",37,75.8,83.5,67.9,5.8,16.8,4.5,7.0,16.9,5.6,47.7,"33,198","38,680","27,736",22,"88,700",12.9,0.65,"9,880",74,56.9,2.2,10.9,"322,000","1,406",410,27.0,36.8,11.7,23.7,34.6,881.3,39,"72,777",0.9,16.0,3.4,208,1.5,16.6,62.6,32,41.1,80.2,84.2,25.5,7.18,7.54,7.13,3.59,Lab,33,60,2,41.0
00BB,E09000025,Newham,Inner London,"323,400","107,793","3,620",89.3,31.4,22.5,70.8,6.7,49.6,Bangladesh,9.1,India,7.9,Pakistan,4.3,72.4,41.4,"17,095",77,61.8,70.9,52.1,11.3,20.5,4.0,11.1,16.5,13.6,30.7,"28,283","28,721","25,655",8,"97,000",25.1,0.44,"7,750",66,90.8,2.9,12.9,"230,000","1,245",670,11.9,17.9,29.9,39.8,23.9,"1,531.9",21,"61,092",0.6,11.0,3.9,3,2.4,25.6,58.4,51,71.9,77.7,82.6,24.1,7.22,7.51,7.32,3.36,Lab,0,100,0,40.6
00BC,E09000026,Redbridge,Outer London,"289,900","103,054","5,642",51.4,35.5,22.7,65.2,12.1,38.0,India,6.9,Pakistan,5.2,Bangladesh,3.7,60.7,24.6,"6,374",34,67.3,77.5,57.2,9.3,29.6,3.4,8.3,17.4,6.8,40.9,"32,502","35,854","28,059",25,"86,900",26.3,0.47,"11,240",70,69.2,2.3,11.5,"275,000","1,395",260,27.6,37.6,8.3,24.7,40.6,985.2,29,"106,339",1.1,6.0,3.0,134,1.9,15.5,70.2,28,60.4,80.3,84.0,16.2,7.28,7.44,7.34,3.12,Lab,40,56,5,39.7
00BD,E09000027,Richmond upon Thames,Outer London,"191,300","81,353","5,741",33.3,38.3,20.2,65.5,14.2,22.8,Germany,1.9,United States,1.6,Ireland,1.5,14.7,10.4,"2,079",17,78.7,86.4,71.1,4.5,13.9,4.4,5.2,14.3,3.0,59.1,"38,907","40,744","37,400",49,"90,600",12.7,0.74,"12,705",77,54.9,1.7,9.9,"475,000","1,586",490,29.9,36.3,10.3,20.6,50.8,905.2,46,"84,918",1.1,31.0,3.0,285,1.1,8.5,68.3,20,20.1,81.7,85.9,19.9,7.42,7.69,7.33,3.56,Cons,72,0,28,46.3
00BE,E09000028,Southwark,Inner London,"298,400","124,614","2,886",103.4,33.8,18.5,73.7,7.8,36.5,Nigeria,5.4,Ireland,1.6,Ghana,1.4,46.9,19.6,"10,683",49,66.3,74.3,57.4,11.1,20.2,2.9,11.6,16.3,7.9,49.1,"34,014","37,669","30,446",26,"265,500",20.7,1.25,"13,875",72,104.2,3.1,14.6,"347,500","1,211","1,250",9.9,23.6,40.9,24.8,24.9,"1,568.6",30,"60,438",0.5,22.0,4.7,41,2.9,28.3,65.2,95,42.3,78.0,83.1,31.8,7.27,7.68,7.20,3.28,Lab,3,76,21,not avail
00BF,E09000029,Sutton,Outer London,"196,400","80,748","4,385",44.8,38.3,20.2,65.0,14.9,21.2,Philippines,2.2,Sri Lanka,1.7,Pakistan,1.3,23.1,10.0,"1,409",11,79.8,85.8,74.0,6.0,26.3,4.0,7.5,17.7,6.4,33.5,"31,023","34,563","26,808",24,"77,900",20.2,0.62,"7,480",73,53.0,2.4,11.9,"250,000","1,440",230,26.7,43.6,11.6,16.6,32.0,819.7,37,"91,266",1.2,13.0,2.7,196,1.8,16.1,77.0,39,21.1,80.5,84.0,25.8,7.25,7.57,7.13,3.34,Lib Dem,17,0,83,42.2
00BG,E09000030,Tower Hamlets,Inner London,"271,100","109,281","1,978",137.1,31.1,19.6,74.5,5.9,42.5,Bangladesh,16.3,Italy,2.2,China,2.0,55.5,34.2,"15,224",76,64.6,75.4,52.9,12.8,29.1,4.6,11.5,18.2,11.8,41.3,"35,019","36,871","32,681",21,"252,800",17.5,1.30,"13,740",68,99.2,4.1,12.5,"320,000","1,185",960,8.7,16.8,40.8,32.2,15.2,"2,263.4",28,"43,589",0.4,15.0,4.7,7,2.7,36.4,64.7,54,73.2,77.1,82.0,24.3,7.28,7.56,7.32,2.93,Tower Hamlets First,16,44,0,not avail
00BH,E09000031,Waltham Forest,Outer London,"267,700","100,524","3,881",69.0,34.5,21.8,68.1,10.1,39.7,Pakistan,7.5,Jamaica,3.2,Poland,2.2,49.5,26.4,"11,533",64,70.3,79.1,61.1,7.4,28.6,3.3,11.2,19.5,10.4,34.8,"28,021","28,914","26,049",19,"76,400",26.1,0.43,"8,265",68,82.6,2.5,12.4,"263,000","1,451",470,18.1,30.4,20.2,30.1,31.4,904.7,31,"76,217",0.8,11.0,3.5,15,2.5,23.3,56.7,44,50.7,79.2,83.4,29.9,7.24,7.72,7.26,2.99,Lab,27,73,0,not avail
00BJ,E09000032,Wandsworth,Inner London,"311,800","131,562","3,426",91.0,34.4,17.3,73.7,9.0,28.1,South Africa,2.2,Jamaica,1.5,Ireland,1.3,29.4,17.4,"8,650",38,76.4,82.4,70.8,7.0,21.9,3.6,7.4,13.2,6.3,59.7,"38,223","39,793","35,920",35,"134,300",22.9,0.60,"15,800",75,71.4,2.2,11.0,"461,125",687,960,22.4,31.7,21.2,23.9,26.9,"1,222.0",23,"89,513",0.7,20.0,4.2,121,1.7,19.0,61.3,37,44.2,79.1,83.2,25.5,7.23,7.55,7.28,3.55,Cons,68,32,0,not avail
00BK,E09000033,Westminster,Inner London,"226,600","108,550","2,149",105.5,36.7,14.8,73.9,11.3,50.9,Iraq,3.0,United States,2.4,France,2.4,40.0,30.8,"10,905",66,68.7,75.4,61.4,4.0,10.1,3.9,9.7,16.8,5.5,58.4,"39,166","47,565","34,200",24,"692,200",13.6,4.25,"49,825",65,237.7,4.7,21.8,"730,000",678,590,17.2,10.0,26.7,41.1,38.2,"3,222.4",22,"48,810",0.5,17.0,6.3,87,2.1,21.8,69.6,52,67.3,81.1,85.1,21.2,7.09,7.44,7.09,3.58,Cons,73,27,0,not avail
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1B,E13000001,Inner London,.,"3,339,900","1,408,739","31,929",104.6,34.1,18.4,72.9,8.7,39.4,Bangladesh,2.8,Ireland,1.6,India,1.5,43.8,25.2,"131,807",55,69.0,75.9,61.8,8.6,22.6,3.7,11.1,16.9,8.7,50.4,"34,524","36,662","32,404",.,"3,138,700",15.6,1.32,"230,730",69,106.7,2.9,14.0,"400,000","1,094","10,150",14.8,22.0,31.8,29.5,21.7,"20,595.0",.,"725,356",0.5,.,4.8,.,2.6,26.4,.,67,53.1,.,.,28.5,7.21,7.52,7.15,3.36,.,24,69,4,not avail
1C,E13000002,Outer London,,"5,100,200","1,966,369","125,424",40.7,36.6,21.0,66.0,13.0,33.5,India,4.4,Pakistan,2.0,Poland,1.8,40.5,20.1,"110,254",33,71.5,79.2,63.8,7.9,22.6,3.9,9.1,16.9,7.1,36.5,"31,786","34,539","28,709",.,"2,040,500",18.5,0.63,"208,675",72,67.4,2.4,12.3,"280,000","1,423","10,910",27.2,33.3,16.7,21.1,42.5,"22,125.1",.,"1,939,058",1.0,.,3.0,.,2.2,18.9,.,48,39.8,.,.,24.5,7.28,7.58,7.25,3.21,.,39,49,8,not avail
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,E12000007,London,,"8,440,100","3,375,108","157,215",53.7,35.6,20.0,68.7,11.3,35.8,India,3.3,Poland,1.7,Pakistan,1.6,41.8,22.1,"243,026",42,70.5,77.8,63.0,8.2,22.6,3.8,10.0,16.9,7.8,42.3,"32,800","35,181","30,000",26,"5,179,700",16.7,0.92,"439,405",70,83.0,2.6,13.0,"321,000","1,297","21,040",22.0,28.5,23.0,24.6,38.3,"42,720.0",34,"2,664,414",0.8,15.0,3.7,.,2.3,21.5,65.1,55,44.3,79.7,83.8,25.9,7.26,7.56,7.21,3.27,.,33,57,6,not avail
64,E92000001,England,,"53,493,729","22,542,903","13,027,867",4.1,39.4,18.9,64.1,16.9,13.6,India,1.3,Poland,1.1,Pakistan,0.9,14.6,8.0,"541,139",16,71.9,77.2,66.6,7.1,19.3,5.3,.,20.4,9.1,27.1,"27,375","29,700","23,754",24,"26,794,600",18.6,0.79,"2,070,400",72,.,.,.,"187,000","1,468","124,720",31.6,32.7,17.5,16.2,87.5,"320,844.9",43,"25,696,833",1.1,15.0,n/a,.,2.2,18.2,59.2,60,16.6,79.2,83.0,27.7,7.44,7.68,7.28,3.05,.,.,.,.,.
925,K02000001,United Kingdom,,"63,705,030","27,065,336","24,309,425",2.6,39.6,18.8,64.2,17.0,12.4,India,1.2,Poland,1.1,Pakistan,0.8,14.0,.,"599,285",15,71.6,76.6,66.6,7.2,19.4,.,10.6,20.7,9.5,26.5,"27,017","29,251","23,589",.,"30,766,400",19.4,0.78,"2,372,960",72,.,.,.,.,.,.,31.8,32.6,18.0,15.6,.,"395,179.1",.,"30,333,100",1.1,.,n/a,.,2.2,18.4,.,.,,.,.,.,7.45,7.69,7.29,3.03,.,.,.,.,.
